gensci,analsci,collsci,pynam,GL_pyscinam,N
ARTHROPODA,DECAPODA,DECAPODA SHRIMP,AXIIDAE,Decapoda shrimp,51
ARTHROPODA,DECAPODA,DECAPODA SHRIMP,AXIUS SERRATUS,Decapoda shrimp,82
ARTHROPODA,DECAPODA,DECAPODA SHRIMP,CALLIANASSA SETIMANUS,Decapoda shrimp,2
ARTHROPODA,DECAPODA,DECAPODA SHRIMP,CALLIANASSIDAE,Decapoda shrimp,2
ARTHROPODA,DECAPODA,DECAPODA SHRIMP,CALOCARIS TEMPLEMANNI,Decapoda shrimp,4
ARTHROPODA,DECAPODA,DECAPODA SHRIMP,CARIDION GORDONI,Decapoda shrimp,6
ARTHROPODA,DECAPODA,DECAPODA SHRIMP,EUALUS GAIMARDII,Decapoda shrimp,5
ARTHROPODA,DECAPODA,DECAPODA SHRIMP,EUALUS PUSIOLUS,Decapoda shrimp,127
ARTHROPODA,DECAPODA,DECAPODA SHRIMP,HIPPOLYTE SP,Decapoda shrimp,4
ARTHROPODA,DECAPODA,DECAPODA SHRIMP,HIPPOLYTIDAE,Decapoda shrimp,31
ARTHROPODA,DECAPODA,DECAPODA SHRIMP,LEANDER TENUICORNIS,Decapoda shrimp,2
ARTHROPODA,DECAPODA,DECAPODA SHRIMP,LEBBEUS GROENLANDICUS,Decapoda shrimp,9
ARTHROPODA,DECAPODA,DECAPODA SHRIMP,LEBBEUS POLARIS,Decapoda shrimp,9
ARTHROPODA,DECAPODA,DECAPODA SHRIMP,LEBBEUS ZEBRA,Decapoda shrimp,2
ARTHROPODA,DECAPODA,DECAPODA SHRIMP,LUCIFER FAXONI,Decapoda shrimp,1
ARTHROPODA,DECAPODA,DECAPODA SHRIMP,NAUSHONIA CRANGONOIDES,Decapoda shrimp,2
ARTHROPODA,DECAPODA,DECAPODA SHRIMP,PALAEMONETES VULGARIS,Decapoda shrimp,4
ARTHROPODA,DECAPODA,DECAPODA SHRIMP,PALAEMONIDAE,Decapoda shrimp,5
ARTHROPODA,DECAPODA,DECAPODA SHRIMP,PASIPHAEA MULTIDENTATA,Decapoda shrimp,118
ARTHROPODA,DECAPODA,DECAPODA SHRIMP,PASIPHAEA TARDA,Decapoda shrimp,6
ARTHROPODA,DECAPODA,DECAPODA SHRIMP,PASIPHAEIDAE,Decapoda shrimp,707
